created,num_users,num_views,segment
2017-02-28T071027,49,78,0
2017-02-28T071027,46,65,1
2017-02-28T071027,45,64,2
2017-02-28T071027,44,60,3
2017-02-28T071027,44,61,4
2017-02-28T071027,44,59,5
2017-02-28T071027,45,62,6
2017-02-28T071027,43,53,7
2017-02-28T071027,41,56,8
2017-02-28T071027,41,52,9
2017-02-28T071027,41,53,10
2017-02-28T071027,41,54,11
2017-02-28T071027,41,50,12
2017-02-28T071027,41,55,13
2017-02-28T071027,40,52,14
2017-02-28T071027,40,50,15
2017-02-28T071027,40,53,16
2017-02-28T071027,40,53,17
2017-02-28T071027,40,56,18
2017-02-28T071027,41,58,19
2017-02-28T071027,41,55,20
2017-02-28T071027,43,55,21
2017-02-28T071027,41,58,22
2017-02-28T071027,40,57,23
2017-02-28T071027,40,61,24
2017-02-28T071027,40,57,25
2017-02-28T071027,39,54,26
2017-02-28T071027,39,56,27
2017-02-28T071027,39,56,28
2017-02-28T071027,39,61,29
2017-02-28T071027,39,56,30
2017-02-28T071027,39,57,31
2017-02-28T071027,40,58,32
2017-02-28T071027,40,63,33
2017-02-28T071027,40,61,34
2017-02-28T071027,40,63,35
2017-02-28T071027,40,58,36
2017-02-28T071027,40,62,37
2017-02-28T071027,40,55,38
2017-02-28T071027,40,58,39
2017-02-28T071027,40,55,40
2017-02-28T071027,40,54,41
2017-02-28T071027,41,56,42
2017-02-28T071027,42,57,43
2017-02-28T071027,43,59,44
2017-02-28T071027,42,56,45
2017-02-28T071027,42,54,46
2017-02-28T071027,41,54,47
2017-02-28T071027,41,55,48
2017-02-28T071027,41,57,49
2017-02-28T071027,41,58,50
2017-02-28T071027,41,55,51
2017-02-28T071027,41,55,52
2017-02-28T071027,41,56,53
2017-02-28T071027,41,59,54
2017-02-28T071027,41,60,55
2017-02-28T071027,41,57,56
2017-02-28T071027,41,56,57
2017-02-28T071027,41,56,58
2017-02-28T071027,41,62,59
2017-02-28T071027,41,62,60
2017-02-28T071027,41,68,61
2017-02-28T071027,41,67,62
2017-02-28T071027,41,66,63
2017-02-28T071027,41,68,64
2017-02-28T071027,41,66,65
2017-02-28T071027,40,57,66
2017-02-28T071027,40,61,67
2017-02-28T071027,39,55,68
2017-02-28T071027,38,55,69
2017-02-28T071027,38,51,70
2017-02-28T071027,39,50,71
2017-02-28T071027,38,49,72
2017-02-28T071027,38,48,73
2017-02-28T071027,38,50,74
2017-02-28T071027,38,49,75
2017-02-28T071027,38,53,76
2017-02-28T071027,38,47,77
2017-02-28T071027,38,49,78
2017-02-28T071027,38,49,79
2017-02-28T071027,38,49,80
2017-02-28T071027,37,49,81
2017-02-28T071027,37,47,82
2017-02-28T071027,37,49,83
2017-02-28T071027,38,49,84
2017-02-28T071027,38,51,85
2017-02-28T071027,37,46,86
2017-02-28T071027,37,49,87
2017-02-28T071027,37,50,88
2017-02-28T071027,36,48,89
2017-02-28T071027,37,48,90
2017-02-28T071027,37,52,91
2017-02-28T071027,36,48,92
2017-02-28T071027,36,49,93
2017-02-28T071027,36,50,94
2017-02-28T071027,36,47,95
2017-02-28T071027,36,46,96
2017-02-28T071027,36,48,97
2017-02-28T071027,37,51,98
2017-02-28T071027,37,45,99
2017-02-28T071027,37,45,100
2017-02-28T071027,37,46,101
2017-02-28T071027,37,44,102
2017-02-28T071027,37,47,103
2017-02-28T071027,38,45,104
2017-02-28T071027,38,45,105
2017-02-28T071027,37,47,106
2017-02-28T071027,37,49,107
2017-02-28T071027,37,44,108
2017-02-28T071027,37,49,109
2017-02-28T071027,37,50,110
2017-02-28T071027,37,46,111
2017-02-28T071027,37,47,112
2017-02-28T071027,37,53,113
2017-02-28T071027,37,49,114
2017-02-28T071027,37,46,115
2017-02-28T071027,37,52,116
2017-02-28T071027,37,51,117
2017-02-28T071027,39,54,118
2017-02-28T071027,38,54,119
2017-02-28T071027,38,49,120
2017-02-28T071027,37,50,121
2017-02-28T071027,37,47,122
2017-02-28T071027,37,48,123
2017-02-28T071027,36,44,124
2017-02-28T071027,36,45,125
2017-02-28T071027,36,46,126
2017-02-28T071027,36,45,127
2017-02-28T071027,37,42,128
2017-02-28T071027,36,44,129
2017-02-28T071027,36,42,130
2017-02-28T071027,36,43,131
2017-02-28T071027,36,43,132
2017-02-28T071027,36,43,133
2017-02-28T071027,37,44,134
2017-02-28T071027,37,45,135
2017-02-28T071027,36,43,136
2017-02-28T071027,36,44,137
2017-02-28T071027,36,52,138
2017-02-28T071027,36,47,139
2017-02-28T071027,35,46,140
2017-02-28T071027,35,41,141
2017-02-28T071027,35,39,142
2017-02-28T071027,35,41,143
2017-02-28T071027,36,40,144
2017-02-28T071027,36,40,145
2017-02-28T071027,35,42,146
2017-02-28T071027,35,40,147
2017-02-28T071027,36,41,148
2017-02-28T071027,35,39,149
2017-02-28T071027,35,40,150
2017-02-28T071027,35,41,151
2017-02-28T071027,36,42,152
2017-02-28T071027,35,40,153
2017-02-28T071027,35,40,154
2017-02-28T071027,35,39,155
2017-02-28T071027,34,42,156
2017-02-28T071027,35,45,157
2017-02-28T071027,35,47,158
2017-02-28T071027,35,47,159
2017-02-28T071027,35,42,160
2017-02-28T071027,35,46,161
2017-02-28T071027,35,42,162
2017-02-28T071027,35,44,163
2017-02-28T071027,35,45,164
2017-02-28T071027,35,44,165
2017-02-28T071027,35,43,166
2017-02-28T071027,35,45,167
2017-02-28T071027,35,43,168
2017-02-28T071027,35,43,169
2017-02-28T071027,35,45,170
2017-02-28T071027,34,46,171
2017-02-28T071027,34,45,172
2017-02-28T071027,34,44,173
2017-02-28T071027,33,40,174
2017-02-28T071027,33,41,175
2017-02-28T071027,34,43,176
2017-02-28T071027,34,42,177
2017-02-28T071027,34,47,178
2017-02-28T071027,34,39,179
2017-02-28T071027,35,42,180
2017-02-28T071027,35,42,181
2017-02-28T071027,35,42,182
2017-02-28T071027,35,41,183
2017-02-28T071027,36,43,184
2017-02-28T071027,36,44,185
2017-02-28T071027,35,41,186
2017-02-28T071027,35,44,187
2017-02-28T071027,36,47,188
2017-02-28T071027,35,46,189
2017-02-28T071027,35,47,190
2017-02-28T071027,35,49,191
2017-02-28T071027,35,45,192
2017-02-28T071027,35,44,193
2017-02-28T071027,35,47,194
2017-02-28T071027,35,45,195
2017-02-28T071027,36,41,196
2017-02-28T071027,36,42,197
2017-02-28T071027,36,42,198
2017-02-28T071027,36,42,199
2017-02-28T071027,36,43,200
2017-02-28T071027,36,44,201
2017-02-28T071027,36,45,202
2017-02-28T071027,36,43,203
2017-02-28T071027,36,45,204
2017-02-28T071027,36,43,205
2017-02-28T071027,36,43,206
2017-02-28T071027,36,47,207
2017-02-28T071027,37,43,208
2017-02-28T071027,37,46,209
2017-02-28T071027,37,45,210
2017-02-28T071027,37,45,211
2017-02-28T071027,36,47,212
2017-02-28T071027,35,44,213
2017-02-28T071027,36,48,214
2017-02-28T071027,36,45,215
2017-02-28T071027,36,46,216
2017-02-28T071027,36,47,217
2017-02-28T071027,37,54,218
2017-02-28T071027,37,51,219
2017-02-28T071027,36,54,220
2017-02-28T071027,37,53,221
2017-02-28T071027,35,49,222
2017-02-28T071027,35,48,223
2017-02-28T071027,35,48,224
2017-02-28T071027,35,50,225
2017-02-28T071027,35,47,226
2017-02-28T071027,35,45,227
2017-02-28T071027,35,46,228
2017-02-28T071027,34,41,229